BUILDING_N,longitude,latitude
ACS OLDHAM HALL - THE BOARDING SCHOOL,103.834958,1.319923
AI TONG SCHOOL,103.83302,1.360583
ALEXANDRA PRIMARY SCHOOL,103.824425,1.291334
ANGLO-CHINESE SCHOOL (BARKER ROAD),103.835941,1.319662
ANGLO-CHINESE SCHOOL (INDEPENDENT) BOARDING SCHOOL,103.78131,1.301061
ANGLO-CHINESE SCHOOL (INTERNATIONAL),103.798539,1.307751
ANGLO-CHINESE SCHOOL (JUNIOR),103.840955,1.309351
ANGLO-CHINESE SCHOOL (PRIMARY),103.83561,1.318371
ANGLO-CHINESE SCHOOL (SPORTS CENTRE),103.834385,1.318658
APSN (TANGLIN SCHOOL),103.81994,1.290433
BALESTIER HILL PRIMARY SCHOOL,103.844431,1.325602
BARTLEY SECONDARY SCHOOL,103.882806,1.339954
BEATTY SECONDARY SCHOOL,103.852286,1.341771
BENDEMEER PRIMARY SCHOOL,103.865404,1.321813
BENDEMEER SECONDARY SCHOOL,103.86097,1.324611
BISHAN PARK SECONDARY SCHOOL,103.832968,1.36491
BLANGAH RISE PRIMARY SCHOOL,103.808629,1.27612
BLK D (PHOENIX PARK OFFICE CAMPUS),103.815655,1.297918
BLUE HOUSE INTERNATIONAL SCHOOL,103.796822,1.336203
BROADRICK SECONDARY SCHOOL,103.886917,1.307051
BUKIT MERAH SECONDARY SCHOOL,103.813023,1.285784
BUKIT TIMAH PRIMARY SCHOOL,103.767243,1.337519
CANADIAN INTERNATIONAL SCHOOL (TANJONG KATONG CAMPUS),103.897517,1.303489
CANOSSA CONVENT PRIMRY SCHOOL,103.882228,1.326644
CANOSSA CONVENT PRIMRY SCHOOL,103.882228,1.326644
CANOSSA CONVENT PRIMRY SCHOOL,103.882228,1.326644
CANOSSA CONVENT PRIMRY SCHOOL,103.882228,1.326644
CATHOLIC HIGH SCHOOL,103.845522,1.355185
CEDAR GIRLS' SECONDARY SCHOOL,103.873933,1.333758
CEDAR PRIMARY SCHOOL,103.875621,1.335588
CHATSWORTH INTERNATIONAL SCHOOL (EAST CAMPUS),103.89864,1.303423
CHATSWORTH INTERNATIONAL SCHOOL (ORCHARD CAMPUS),103.83864,1.302233
CHINESE INTERNATIONAL SCHOOL,103.829979,1.320344
CHRIST CHURCH,103.847663,1.312235
CHUNG CHENG HIGH SCHOOL (MAIN),103.891653,1.305092
CRESCENT GIRLS' SCHOOL,103.817544,1.293319
DOVER COURT PREPARATORY SCHOOL,103.779124,1.306266
DUKE-NUS GRADUATE MEDICAL SCHOOL SINGAPORE,103.834145,1.281218
DUNMAN HIGH SCHOOL,103.882942,1.299962
DUNMAN HIGH SCHOOL HOSTEL,103.882466,1.299686
EIS INTERNATIONAL PRE-SCHOOL (BRANCH 1),103.899509,1.307127
ESSEC BUSINESS SCHOOL,103.787701,1.302886
ETONHOUSE BROADRICK INTERNATIONAL SCHOOL & PRE-SCHOOL,103.889747,1.305814
ETONHOUSE INTERNATIONAL PRE-SCHOOL (CLAYMORE),103.829991,1.30834
ETONHOUSE INTERNATIONAL RESEARCH PRE-SCHOOL,103.886684,1.30034
ETONHOUSE PRE-SCHOOL (717 MOUNTBATTEN),103.886685,1.301141
ETONHOUSE PRE-SCHOOL (NEWTON),103.841035,1.317197
ETONHOUSE PRE-SCHOOL (THOMSON),103.840935,1.330113
ETONHOUSE PRE-SCHOOL (VANDA ROAD),103.798237,1.331204
EUNOS PRIMARY SCHOOL,103.904541,1.324476
FAIRFIELD METHODIST SCHOOL (PRIMARY),103.785438,1.300541
FAIRFIELD METHODIST SCHOOL (SECONDARY),103.7841,1.301634
FARRER PARK PRIMARY SCHOOL,103.850766,1.312369
FIRST TOA PAYOH PRIMARY SCHOOL,103.85553,1.340323
GAN ENG SENG PRIMARY SCHOOL,103.815547,1.285595
GAN ENG SENG SCHOOL,103.823753,1.289594
GERMAN EUROPEAN SCHOOL (MAIN CAMPUS),103.792071,1.344889
GERMAN EUROPEAN SCHOOL SINGAPORE (PRIMARY SCHOOL CAMPUS),103.768095,1.346069
GEYLANG METHODIST SCHOOL (PRIMARY),103.883846,1.317591
GEYLANG METHODIST SCHOOL (SECONDARY),103.882673,1.317671
GLOBAL INDIAN INTERNATIONAL SCHOOL (BALESTIER CAMPUS),103.852811,1.328632
GLOBAL INDIAN INTERNATIONAL SCHOOL (BALESTIER CAMPUS),103.852811,1.328632
GLOBAL INDIAN INTERNATIONAL SCHOOL (QUEENSTOWN CAMPUS),103.801971,1.293542
GLOBAL INDIAN INTERNATIONAL SCHOOL (QUEENSTOWN CAMPUS),103.80122,1.291901
GUANGYANG PRIMARY SCHOOL,103.849453,1.34569
GUANGYANG SECONDARY SCHOOL,103.850209,1.344409
HAIG GIRLS' SCHOOL (U/C),103.902903,1.311943
HENRY PARK PRIMARY SCHOOL,103.784296,1.316676
HOLLANDSE SCHOOL,103.789916,1.345741
HONG WEN SCHOOL,103.857627,1.321763
HWA CHONG INSTITUTION,103.805704,1.324948
HWA CHONG INSTITUTION BOARDING SCHOOL,103.801479,1.325075
HWA CHONG INTERNATIONAL SCHOOL,103.801035,1.326189
ISS INTERNATIONAL SCHOOL (ELEMENTARY & MIDDLE SCHOOL CAMPUS),103.830235,1.30191
ISS INTERNATIONAL SCHOOL (PRESTON CAMPUS),103.805691,1.280633
KHENG CHENG SCHOOL,103.847425,1.336647
KONG HWA SCHOOL,103.887896,1.310789
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,103.855018,1.349398
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,103.855018,1.349398
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,103.855365,1.350076
LEE KONG CHIAN SCHOOL OF MEDICINE (NOVENA CAMPUS),103.848864,1.32162
LIGHTHOUSE SCHOOL,103.84078,1.338814
LORNA WHISTON PRE-SCHOOL,103.794457,1.285708
MACPHERSON PRIMARY SCHOOL,103.881625,1.324392
MAHA BODHI SCHOOL,103.901299,1.328471
MANJUSRI SECONDARY SCHOOL,103.90172,1.327471
MARYMOUNT CONVENT SCHOOL,103.843232,1.340215
MARYMOUNT CONVENT SCHOOL (U/C),103.840021,1.340367
MELBOURNE SPECIALIST INTERNATIONAL SCHOOL,103.812438,1.301647
METHODIST CENTRE (ANGLO-CHINESE SCHOOL (BARKER ROAD)),103.834516,1.319158
METHODIST GIRLS' SCHOOL,103.783393,1.332948
MINDS - LEE KONG CHIAN GARDENS SCHOOL,103.8133,1.294697
MOE SCHOOL CLUSTER CENTRE,103.809676,1.287995
MOUNTBATTEN VOCATIONAL SCHOOL,103.879755,1.30787
NANYANG GIRLS' HIGH SCHOOL,103.802385,1.330688
NANYANG GIRLS' HIGH SCHOOL BOARDING HOUSE,103.800662,1.331671
NANYANG PRIMARY SCHOOL,103.80775,1.320847
NATIONAL JUNIOR COLLEGE BOARDING SCHOOL,103.804634,1.331926
NEW TOWN PRIMARY SCHOOL,103.800102,1.299642
NEW TOWN SECONDARY SCHOOL,103.773189,1.309776
NEXUS INTERNATIONAL SCHOOL,103.775713,1.319259
NGEE ANN PRIMARY SCHOOL,103.917463,1.305525
NORTHLIGHT SCHOOL,103.85576,1.3191
OUTRAM SECONDARY SCHOOL,103.837127,1.286514
OVERSEAS FAMILY SCHOOL,103.831933,1.301153
PEI CHUN PUBLIC SCHOOL (U/C),103.855632,1.337334
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,103.776108,1.338055
PEIRCE SECONDARY SCHOOL,103.830216,1.366659
QUEENSTOWN PRIMARY SCHOOL,103.807549,1.295594
QUEENSTOWN SECONDARY SCHOOL,103.813191,1.293521
QUEENSWAY SECONDARY SCHOOL,103.802207,1.300223
RAFFLES GIRLS' PRIMARY SCHOOL,103.806443,1.329404
RAFFLES GIRLS' SCHOOL (SECONDARY),103.82896,1.311695
RAINBOW CENTRE -  MARGARET DRIVE SCHOOL,103.809086,1.297283
RIVER VALLEY PRIMARY SCHOOL,103.836294,1.293818
S P JAIN SCHOOL OF GLOBAL MANAGEMENT,103.801422,1.279905
SAINT ANDREW'S JUNIOR SCHOOL,103.865075,1.331232
SAINT ANDREW'S SECONDARY SCHOOL,103.865946,1.330635
SAINT MARGARET'S PRIMARY SCHOOL,103.846251,1.303788
SAINT MARGARET'S SECONDARY SCHOOL,103.809951,1.320068
SAN YU ADVENTIST SCHOOL,103.841038,1.321835
"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",103.774012,1.312928
SCHOOL OF THE ARTS (SOTA),103.848687,1.299365
SINGAPORE CHINESE GIRLS' SCHOOL,103.828192,1.321045
SINGAPORE KOREAN INTERNATIONAL SCHOOL,103.790311,1.345887
SINGAPORE MANAGEMENT UNIVERSITY (SCHOOL OF ACCOUNTANCY),103.849728,1.29573
SINGAPORE MANAGEMENT UNIVERSITY (SCHOOL OF INFORMATION SYSTEMS),103.849552,1.297377
SINGAPORE MANAGEMENT UNIVERSITY (SCHOOL OF LAW),103.848924,1.295109
STAMFORD AMERICAN INTERNATIONAL SCHOOL,103.869709,1.336975
STAMFORD PRIMARY SCHOOL,103.857454,1.303456
SWISS SCHOOL,103.790761,1.342973
TANGLIN TRUST SCHOOL,103.791989,1.296891
TANJONG KATONG GIRLS' SCHOOL (U/C),103.896572,1.307069
TANJONG KATONG PRIMARY SCHOOL,103.900128,1.305282
TANJONG KATONG SECONDARY SCHOOL,103.897225,1.308735
TAO NAN SCHOOL,103.911553,1.305285
WHITLEY SECONDARY SCHOOL,103.842552,1.355052
ZHANGDE PRIMARY SCHOOL,103.825952,1.284212
