BUILDING_N,HOUSE_BLK_NO,ROAD_NAME,POSTAL_CODE
CANTONMENT PRIMARY SCHOOL,1,CANTONMENT CLOSE,88256
RADIN MAS PRIMARY SCHOOL,1,BUKIT PURMEI AVENUE,99840
BLANGAH RISE PRIMARY SCHOOL,91,TELOK BLANGAH HEIGHTS,109100
ISS INTERNATIONAL SCHOOL (PRESTON CAMPUS),21,PRESTON ROAD,109355
LORNA WHISTON PRE-SCHOOL,9,WINCHESTER ROAD,117783
S P JAIN SCHOOL OF GLOBAL MANAGEMENT,10,HYDERABAD ROAD,119579
"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",1,TECHNOLOGY DRIVE,138572
TANGLIN TRUST SCHOOL,95,PORTSDOWN ROAD,139299
ESSEC BUSINESS SCHOOL,5,NEPAL PARK,139408
DOVER COURT PREPARATORY SCHOOL,301,DOVER ROAD,139644
FAIRFIELD METHODIST SCHOOL (PRIMARY),100,DOVER ROAD,139648
FAIRFIELD METHODIST SCHOOL (SECONDARY),102,DOVER ROAD,139649
ANGLO-CHINESE SCHOOL (INDEPENDENT) BOARDING SCHOOL,119,DOVER ROAD,139656
NEW TOWN SECONDARY SCHOOL,1020,DOVER ROAD,139657
QUEENSTOWN SECONDARY SCHOOL,1,STRATHMORE ROAD,148800
NEW TOWN PRIMARY SCHOOL,300,TANGLIN HALT ROAD,148812
GLOBAL INDIAN INTERNATIONAL SCHOOL - QUEENSTOWN,1,MEI CHIN ROAD,149253
GLOBAL INDIAN INTERNATIONAL SCHOOL (QUEENSTOWN CAMPUS),3,MEI CHIN ROAD,149254
QUEENSWAY SECONDARY SCHOOL,2A,MARGARET DRIVE,149295
QUEENSTOWN PRIMARY SCHOOL,310,MARGARET DRIVE,149303
RAINBOW CENTRE -  MARGARET DRIVE SCHOOL,501,MARGARET DRIVE,149306
MINDS - LEE KONG CHIAN GARDENS SCHOOL,800,MARGARET DRIVE,149310
GAN ENG SENG PRIMARY SCHOOL,100,REDHILL CLOSE,158901
ALEXANDRA PRIMARY SCHOOL,2A,PRINCE CHARLES CRESCENT,159016
BUKIT MERAH SECONDARY SCHOOL,10,LENGKOK BAHRU,159050
MOE SCHOOL CLUSTER CENTRE,5,HOY FATT ROAD,159505
HENDERSON SECONDARY SCHOOL,100,HENDERSON ROAD,159544
GAN ENG SENG SCHOOL,1,HENDERSON ROAD,159561
MANASSEH MEYER SCHOOL,38C,BELVEDERE CLOSE,159883
APSN (TANGLIN SCHOOL),143,ALEXANDRA ROAD,159924
OUTRAM SECONDARY SCHOOL,3,YORK HILL,168622
ZHANGDE PRIMARY SCHOOL,51,JALAN MEMBINA,169485
DUKE-NUS GRADUATE MEDICAL SCHOOL SINGAPORE,8,COLLEGE ROAD,169857
SINGAPORE MANAGEMENT UNIVERSITY (SCHOOL OF ACCOUNTANCY),60,STAMFORD ROAD,178900
SINGAPORE MANAGEMENT UNIVERSITY (SCHOOL OF INFORMATION SYSTEMS),80,STAMFORD ROAD,178902
SINGAPORE MANAGEMENT UNIVERSITY (SCHOOL OF LAW),55,ARMENIAN STREET,179943
STAMFORD PRIMARY SCHOOL,1,VICTORIA LANE,198423
FARRER PARK PRIMARY SCHOOL,2,FARRER PARK ROAD,217567
EAST ASIA SCHOOL OF THEOLOGY,1,DORSET ROAD,219486
SCHOOL OF THE ARTS (SOTA),1,ZUBIR SAID DRIVE,227968
ANGLO-CHINESE SCHOOL (JUNIOR),16,WINSTEDT ROAD,227988
SAINT MARGARET'S PRIMARY SCHOOL,99,WILKIE ROAD,228091
CHATSWORTH INTERNATIONAL SCHOOL (ORCHARD CAMPUS),37A,EMERALD HILL ROAD,229432
ETONHOUSE INTERNATIONAL PRE-SCHOOL (CLAYMORE),15,CLAYMORE ROAD,229542
RIVER VALLEY PRIMARY SCHOOL,2,RIVER VALLEY GREEN,237993
ISS INTERNATIONAL SCHOOL (ELEMENTARY & MIDDLE SCHOOL CAMPUS),25A,PATERSON ROAD,238511
OVERSEAS FAMILY SCHOOL,25F,PATERSON ROAD,238515
CRESCENT GIRLS' SCHOOL,357,TANGLIN ROAD,247961
AVONDALE GRAMMAR SCHOOL (EARLY LEARNING YEARS CAMPUS),318,TANGLIN ROAD,247979
MELBOURNE SPECIALIST INTERNATIONAL SCHOOL,75C,LOEWEN ROAD,248853
NYU TISCH SCHOOL OF THE ARTS ASIA,3,KAY SIANG ROAD,248923
SAINT MARGARET'S SECONDARY SCHOOL,111,FARRER ROAD,259240
RAFFLES GIRLS' SCHOOL (SECONDARY),20,ANDERSON ROAD,259978
NANYANG PRIMARY SCHOOL,52,KING'S ROAD,268097
CHINESE HIGH SCHOOL CLOCK TOWER BUILDING,661,BUKIT TIMAH ROAD,269734
HWA CHONG INSTITUTION BOARDING SCHOOL,673,BUKIT TIMAH ROAD,269735
HWA CHONG INTERNATIONAL SCHOOL,663,BUKIT TIMAH ROAD,269783
ANGLO-CHINESE SCHOOL (INTERNATIONAL),61,JALAN HITAM MANIS,278475
HENRY PARK PRIMARY SCHOOL,1,HOLLAND GROVE ROAD,278790
ETONHOUSE PRE-SCHOOL (VANDA ROAD),1,VANDA ROAD,287771
BLUE HOUSE INTERNATIONAL SCHOOL,2,TURF CLUB ROAD,287988
SWISS SCHOOL,38,SWISS CLUB ROAD,288140
NANYANG GIRLS' HIGH SCHOOL,2,LINDEN DRIVE,288683
NANYANG GIRLS' HIGH SCHOOL BOARDING HOUSE,21,LINDEN DRIVE,288735
NJC BOARDING SCHOOL,41,HILLCREST ROAD,288916
RAFFLES GIRLS' PRIMARY SCHOOL,21,HILLCREST ROAD,289072
HOLLANDSE SCHOOL,65,BUKIT TINGGI ROAD,289757
SINGAPORE KOREAN INTERNATIONAL SCHOOL,71,BUKIT TINGGI ROAD,289759
GERMAN EUROPEAN SCHOOL (MAIN CAMPUS),72,BUKIT TINGGI ROAD,289760
ETONHOUSE PRE-SCHOOL (THOMSON),8,THOMSON LANE,297743
MARYMOUNT CONVENT SCHOOL (U/C),20,MARYMOUNT ROAD,297754
LIGHTHOUSE SCHOOL,51,TOA PAYOH RISE,298106
BALESTIER HILL SECONDARY SCHOOL,11,NOVENA RISE,307516
SAN YU ADVENTIST SCHOOL,299,THOMSON ROAD,307652
ETONHOUSE PRE-SCHOOL (NEWTON),39,NEWTON ROAD,307966
LEE KONG CHIAN SCHOOL OF MEDICINE (NOVENA CAMPUS),11,MANDALAY ROAD,308232
CHINESE INTERNATIONAL SCHOOL,60,DUNEARN ROAD,309434
SINGAPORE CHINESE GIRLS' SCHOOL,190,DUNEARN ROAD,309437
ANGLO-CHINESE SCHOOL (PRIMARY),50,BARKER ROAD,309918
ANGLO-CHINESE SCHOOL (BARKER ROAD),60,BARKER ROAD,309919
METHODIST CENTRE (ANGLO-CHINESE SCHOOL (BARKER ROAD)),70,BARKER ROAD,309936
ACS OLDHAM HALL - THE BOARDING SCHOOL,80,BARKER ROAD,309937
ANGLO-CHINESE SCHOOL (SPORTS CENTRE),90,BARKER ROAD,309938
BEATTY SECONDARY SCHOOL,1,TOA PAYOH NORTH,318990
FIRST TOA PAYOH PRIMARY SCHOOL,7,LORONG 8 TOA PAYOH,319252
PEI CHUN PUBLIC SCHOOL,16,LORONG 7 TOA PAYOH,319320
KHENG CHENG SCHOOL,15,LORONG 3 TOA PAYOH,319580
MARYMOUNT CONVENT SCHOOL (JAN 2015 - DEC 2016),430,LORONG 1 TOA PAYOH,319759
HONG WEN SCHOOL,30,TOWNER ROAD,327829
NORTHLIGHT SCHOOL,151,TOWNER ROAD,327830
BENDEMEER SECONDARY SCHOOL,1,SAINT WILFRED ROAD,327919
GLOBAL INDIAN INTERNATIONAL SCHOOL - BALESTIER,51,JALAN RAJAH,329154
GLOBAL INDIAN INTERNATIONAL SCHOOL (BALESTIER CAMPUS),51,JALAN RAJAH,329154
BALESTIER HILL PRIMARY SCHOOL,565,BALESTIER ROAD,329927
BENDEMEER PRIMARY SCHOOL,91,BENDEMEER ROAD,339948
CEDAR GIRLS' SECONDARY SCHOOL,1,CEDAR AVENUE,349692
CEDAR PRIMARY SCHOOL,15,CEDAR AVENUE,349700
STAMFORD AMERICAN INTERNATIONAL SCHOOL,1,WOODLEIGH LANE,357684
SAINT ANDREW'S JUNIOR SCHOOL,2,FRANCIS THOMAS DRIVE,359337
SAINT ANDREW'S SECONDARY SCHOOL,15,FRANCIS THOMAS DRIVE,359342
SAINT CLARE SCHOOL,102B,UPPER ALJUNIED ROAD,367881
MACPHERSON SECONDARY SCHOOL,121,CIRCUIT ROAD,379499
CANOSSA CONVENT PRIMARY SCHOOL,1,SALLIM ROAD,387621
CANOSSA CONVENT PRIMARY SCHOOL (U/C),1,SALLIM ROAD,387621
CANOSSA CONVENT PRIMRY SCHOOL,1,SALLIM ROAD,387621
CANOSSIAN SCHOOL,1,SALLIM ROAD,387621
MACPHERSON PRIMARY SCHOOL,2,MATTAR ROAD,387724
GEYLANG METHODIST SCHOOL (SECONDARY),2,GEYLANG EAST CENTRAL,389705
GEYLANG METHODIST SCHOOL (PRIMARY),4,GEYLANG EAST CENTRAL,389706
MOUNTBATTEN VOCATIONAL SCHOOL,225,MOUNTBATTEN ROAD,397997
KONG HWA SCHOOL,350,GUILLEMARD ROAD,399772
BROADRICK SECONDARY SCHOOL,61,DAKOTA CRESCENT,399935
MAHA BODHI SCHOOL,10,UBI AVENUE 1,408931
MANJUSRI SECONDARY SCHOOL,20,UBI AVENUE 1,408940
EUNOS PRIMARY SCHOOL,95,JALAN EUNOS,419529
HAIG GIRLS' SCHOOL (U/C),51,KOON SENG ROAD,427072
DUNMAN HIGH SCHOOL,10,TANJONG RHU ROAD,436895
CANADIAN INTERNATIONAL SCHOOL (TANJONG KATONG CAMPUS),371,TANJONG KATONG ROAD,437128
TANJONG KATONG PRIMARY SCHOOL,10,SERAYA ROAD,437259
EIS INTERNATIONAL PRE-SCHOOL (BRANCH 1),7,SERAYA LANE,437275
ETONHOUSE PRE-SCHOOL (717 MOUNTBATTEN),717,MOUNTBATTEN ROAD,437737
ETONHOUSE INTERNATIONAL RESEARCH PRE-SCHOOL,718,MOUNTBATTEN ROAD,437738
DUNMAN HIGH SCHOOL HOSTEL,61,KAMPONG ARANG ROAD,438181
CHATSWORTH INTERNATIONAL SCHOOL (EAST CAMPUS),25,JALAN TEMBUSU,438234
TANJONG KATONG SECONDARY SCHOOL,130,HAIG ROAD,438796
CHUNG CHENG HIGH SCHOOL (MAIN),50,GOODMAN ROAD,439012
TANJONG KATONG GIRLS' SCHOOL,20,DUNMAN LANE,439272
ETONHOUSE BROADRICK INTERNATIONAL SCHOOL & PRE-SCHOOL,51,BROADRICK ROAD,439501
NGEE ANN PRIMARY SCHOOL,344,MARINE TERRACE,449149
TAO NAN SCHOOL,49,MARINE CRESCENT,449761
BARTLEY SECONDARY SCHOOL,10,JALAN BUNGA RAMPAI,538403
MARIS STELLA HIGH SCHOOL,80,BARTLEY ROAD,539786
BISHAN PARK SECONDARY SCHOOL,2,SIN MING WALK,575565
PEIRCE SECONDARY SCHOOL,10,SIN MING WALK,575566
AI TONG SCHOOL,100,BRIGHT HILL DRIVE,579646
WHITLEY SECONDARY SCHOOL,30,BISHAN STREET 24,579747
CATHOLIC HIGH SCHOOL,9,BISHAN STREET 22,579767
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,8,BISHAN STREET 13,579793
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL (U/C),8,BISHAN STREET 13,579793
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,10,BISHAN STREET 13,579795
GUANGYANG PRIMARY SCHOOL,6,BISHAN STREET 12,579806
GUANGYANG SECONDARY SCHOOL,8,BISHAN STREET 12,579807
NEXUS INTERNATIONAL SCHOOL,201,ULU PANDAN ROAD,596468
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7,PEI WAH AVENUE,597610
BUKIT TIMAH PRIMARY SCHOOL,111,LORONG KISMIS,598112
GERMAN EUROPEAN SCHOOL SINGAPORE (PRIMARY SCHOOL CAMPUS),300,JALAN JURONG KECHIL,598668
METHODIST GIRLS' SCHOOL,11,BLACKMORE DRIVE,599986
