origin_id;destination_id;entry_cost;network_cost;exit_cost;total_cost
1;1;0.0
1;2;18.373566042175064;4158.496378216993;32.734736291404054;4209.604680550573
1;3;18.373566042175064;2976.742739930741;65.85287423117418;3060.96918020409
1;4;18.373566042175064;7758.65310576698;18.00661358771306;7795.033285396868
1;5;18.373566042175064;7570.980212490399;37.66282827690001;7627.016606809474
1;6;18.373566042175064;9582.01875756484;8.016064046823605;9608.408387653839
1;7;18.373566042175064;7444.83895354798;27.30263780510471;7490.51515739526
1;8;18.373566042175064;12800.786499962987;16.45575228264258;12835.615818287804
1;9;18.373566042175064;11240.7454150783;31.552513815853338;11290.671494936329
1;10;18.373566042175064;9441.426746752015;17.19788513082477;9476.998197925015
2;1;32.734736291404054;4158.496378216994;18.373566042175064;4209.604680550574
2;2;0.0
2;3;32.734736291404054;6620.0269316263475;65.85287423117418;6718.614542148926
2;4;32.734736291404054;7021.293012712022;18.00661358771306;7072.034362591139
2;5;32.734736291404054;6842.157256066829;37.66282827690001;6912.554820635133
2;6;32.734736291404054;8844.658664509878;8.016064046823605;8885.409464848106
2;7;32.734736291404054;11087.10505034661;27.30263780510471;11147.14242444312
2;8;32.734736291404054;14324.854185089886;16.45575228264258;14374.044673663931
2;9;32.734736291404054;10725.417113139612;31.552513815853338;10789.70436324687
2;10;32.734736291404054;11655.085899910964;17.19788513082477;11705.018521333193
3;1;65.85287423117418;2976.7427399307417;18.373566042175064;3060.9691802040907
3;2;65.85287423117418;6620.026931626345;32.734736291404054;6718.614542148924
3;3;0.0
3;4;65.85287423117418;6171.567402909614;18.00661358771306;6255.426890728502
3;5;65.85287423117418;5880.376813791899;37.66282827690001;5983.892516299973
3;6;65.85287423117418;7589.5397592855215;8.016064046823605;7663.40869756352
3;7;65.85287423117418;4692.064187974966;27.30263780510471;4785.219700011246
3;8;65.85287423117418;10048.011734389975;16.45575228264258;10130.32036090379
3;9;65.85287423117418;8678.855369569346;31.552513815853338;8776.260757616374
3;10;65.85287423117418;6879.53670124306;17.19788513082477;6962.587460605059
4;1;18.00661358771306;7758.653105766981;18.373566042175064;7795.033285396869
4;2;18.00661358771306;7021.2930127120235;32.734736291404054;7072.034362591141
4;3;18.00661358771306;6171.567402909612;65.85287423117418;6255.4268907284995
4;4;0.0
4;5;18.00661358771306;1848.1732740685716;37.66282827690001;1903.8427159331845
4;6;18.00661358771306;2018.2342500175034;8.016064046823605;2044.25692765204
4;7;18.00661358771306;6344.407746615693;27.30263780510471;6389.716998008511
4;8;18.00661358771306;7498.429770597505;16.45575228264258;7532.892136467861
4;9;18.00661358771306;3898.9926986472283;31.552513815853338;3948.5518260507947
4;10;18.00661358771306;4828.661485418597;17.19788513082477;4863.8659841371355
5;1;37.66282827690001;7570.9802124904;18.373566042175064;7627.016606809475
5;2;37.66282827690001;6842.157256066825;32.734736291404054;6912.554820635129
5;3;37.66282827690001;5880.376813791898;65.85287423117418;5983.892516299972
5;4;37.66282827690001;1848.1732740685723;18.00661358771306;1903.8427159331852
5;5;0.0
5;6;37.66282827690001;3671.538925866428;8.016064046823605;3717.217818190152
5;7;37.66282827690001;6266.662090885858;27.30263780510471;6331.627556967862
5;8;37.66282827690001;9151.734446446426;16.45575228264258;9205.853027005967
5;9;37.66282827690001;5552.297374496152;31.552513815853338;5621.512716588905
5;10;37.66282827690001;6481.966161267524;17.19788513082477;6536.826874675248
6;1;8.016064046823605;9582.01875756484;18.373566042175064;9608.408387653839
6;2;8.016064046823605;8844.658664509883;32.734736291404054;8885.409464848111
6;3;8.016064046823605;7589.539759285522;65.85287423117418;7663.408697563521
6;4;8.016064046823605;2018.2342500175023;18.00661358771306;2044.256927652039
6;5;8.016064046823605;3671.5389258664286;37.66282827690001;3717.2178181901522
6;6;0.0
6;7;8.016064046823605;6293.026974258729;27.30263780510471;6328.345676110657
6;8;8.016064046823605;6530.4045006104525;16.45575228264258;6554.876316939919
6;9;8.016064046823605;2930.967428660175;31.552513815853338;2970.5360065228515
6;10;8.016064046823605;4141.384429604469;17.19788513082477;4166.598378782118
7;1;27.30263780510471;7444.838953547977;18.373566042175064;7490.515157395257
7;2;27.30263780510471;11087.10505034661;32.734736291404054;11147.14242444312
7;3;27.30263780510471;4692.064187974969;65.85287423117418;4785.219700011248
7;4;27.30263780510471;6344.407746615694;18.00661358771306;6389.716998008512
7;5;27.30263780510471;6266.662090885858;37.66282827690001;6331.627556967862
7;6;27.30263780510471;6293.026974258731;8.016064046823605;6328.345676110659
7;7;0.0
7;8;27.30263780510471;6344.525289888025;16.45575228264258;6388.283679975772
7;9;27.30263780510471;4212.733601707372;31.552513815853338;4271.58875332833
7;10;27.30263780510471;2413.414933381086;17.19788513082477;2457.9154563170155
8;1;16.45575228264258;12800.786499962991;18.373566042175064;12835.615818287808
8;2;16.45575228264258;14324.854185089882;32.734736291404054;14374.044673663928
8;3;16.45575228264258;10048.011734389978;65.85287423117418;10130.320360903794
8;4;16.45575228264258;7498.429770597501;18.00661358771306;7532.892136467857
8;5;16.45575228264258;9151.734446446422;37.66282827690001;9205.853027005964
8;6;16.45575228264258;6530.404500610451;8.016064046823605;6554.876316939917
8;7;16.45575228264258;6344.525289888022;27.30263780510471;6388.283679975769
8;8;0.0
8;9;16.45575228264258;3599.4370719502745;31.552513815853338;3647.4453380487703
8;10;16.45575228264258;4176.1178243126005;17.19788513082477;4209.771461726068
9;1;31.552513815853338;11240.745415078309;18.373566042175064;11290.671494936338
9;2;31.552513815853338;10725.417113139609;32.734736291404054;10789.704363246867
9;3;31.552513815853338;8678.855369569343;65.85287423117418;8776.26075761637
9;4;31.552513815853338;3898.9926986472274;18.00661358771306;3948.551826050794
9;5;31.552513815853338;5552.297374496154;37.66282827690001;5621.512716588907
9;6;31.552513815853338;2930.967428660175;8.016064046823605;2970.5360065228515
9;7;31.552513815853338;4212.7336017073685;27.30263780510471;4271.588753328327
9;8;31.552513815853338;3599.4370719502745;16.45575228264258;3647.4453380487703
9;9;0.0
9;10;31.552513815853338;1799.3186683262838;17.19788513082477;1848.069067272962
10;1;17.19788513082477;9441.426746752026;18.373566042175064;9476.998197925026
10;2;17.19788513082477;11655.085899910977;32.734736291404054;11705.018521333206
10;3;17.19788513082477;6879.536701243057;65.85287423117418;6962.587460605057
10;4;17.19788513082477;4828.661485418596;18.00661358771306;4863.865984137135
10;5;17.19788513082477;6481.96616126752;37.66282827690001;6536.826874675245
10;6;17.19788513082477;4141.384429604468;8.016064046823605;4166.598378782117
10;7;17.19788513082477;2413.4149333810874;27.30263780510471;2457.915456317017
10;8;17.19788513082477;4176.117824312601;16.45575228264258;4209.771461726069
10;9;17.19788513082477;1799.3186683262838;31.552513815853338;1848.069067272962
10;10;0.0
